cell_type	target	binding	perb_score
Early_Female_Pvalb	ADORA2A	antagonist	1.68938081375407e-10
Early_Female_L6_CT	ADORA2A	antagonist	1.72354910068705e-10
Early_Female_Astrocyte	ADORA2A	antagonist	1.16371706376408e-11
Early_Female_L2_3_IT	ADORA2A	antagonist	2.24147348144862e-10
Early_Male_L6b	ADORA2A	antagonist	2.64867833577565e-10
Early_Male_L6_CT	ADORA2A	antagonist	4.63218372909978e-10
Early_Male_Chandelier	ADORA2A	antagonist	3.59194385534347e-10
Early_Female_Lamp5_Lhx6	ADORA2A	antagonist	3.27616184222717e-11
Early_Female_L6_IT_Car3	ADORA2A	antagonist	1.09092491153722e-10
Early_Male_L5_6_NP	ADORA2A	antagonist	3.28028198042826e-10
Early_Male_Immune	ADORA2A	antagonist	1.79428713152142e-10
Early_Female_Vip	ADORA2A	antagonist	7.23563604658881e-11
Early_Male_Lamp5_Lhx6	ADORA2A	antagonist	3.05783511165821e-10
Early_Male_L4_IT	ADORA2A	antagonist	2.43631442993045e-11
Early_Female_Immune	ADORA2A	antagonist	1.39143452799887e-10
Early_Female_L5_IT	ADORA2A	antagonist	1.225120932691e-11
Early_Female_L4_IT	ADORA2A	antagonist	3.14576685695672e-10
Early_Male_L6_IT	ADORA2A	antagonist	3.76776953028411e-10
Early_Male_L5_IT	ADORA2A	antagonist	2.34805902241265e-10
Late_Female_Immune	ADORA2A	antagonist	1.00491883442247e-10
Early_Male_L2_3_IT	ADORA2A	antagonist	1.41507132300909e-10
Early_Male_OPC	ADORA2A	antagonist	3.03923688262989e-10
Early_Male_Lamp5	ADORA2A	antagonist	1.3091914966034e-10
Early_Male_Oligodendrocyte	ADORA2A	antagonist	4.65027283677331e-11
Early_Male_Sncg	ADORA2A	antagonist	1.66198862322411e-10
Late_Female_Endothelial	ADORA2A	antagonist	3.80802806950909e-11
Late_Female_Astrocyte	ADORA2A	antagonist	4.67776466721422e-11
Early_Male_Sst	ADORA2A	antagonist	2.46702205296324e-10
Late_Female_Chandelier	ADORA2A	antagonist	3.3053948461421e-10
Early_Male_Vip	ADORA2A	antagonist	1.90138803015095e-10
Late_Female_L5_ET	ADORA2A	antagonist	1.35078768574886e-10
Late_Female_L5_6_NP	ADORA2A	antagonist	1.90522070643565e-10
Late_Female_L2_3_IT	ADORA2A	antagonist	1.26616697083934e-10
Early_Male_Pvalb	ADORA2A	antagonist	5.02973659262054e-11
Late_Female_L4_IT	ADORA2A	antagonist	2.65159216989208e-11
Late_Female_L6_IT	ADORA2A	antagonist	2.87623070006922e-10
Late_Female_L6_IT_Car3	ADORA2A	antagonist	3.26322016202907e-10
Late_Female_Sst	ADORA2A	antagonist	2.18443062907906e-10
Late_Female_Vip	ADORA2A	antagonist	1.88818557586061e-10
Late_Female_L6_CT	ADORA2A	antagonist	2.11854042055508e-10
Late_Female_Lamp5_Lhx6	ADORA2A	antagonist	1.42492018638306e-10
Late_Female_L5_IT	ADORA2A	antagonist	3.06232989511816e-10
