cell_type	target	binding	perb_score
Immune_Late_APOE4_Pos	ACE	antagonist	3.26651703603468e-11
Astrocyte_Late_APOE4_Neg	ACE	antagonist	2.31464766096672e-11
L5_ET_Late_APOE4_Pos	ACE	antagonist	4.21443348663835e-10
L5_6_NP_Late_APOE4_Pos	ACE	antagonist	3.49510177652219e-10
Endothelial_Late_APOE4_Pos	ACE	antagonist	2.10967123600766e-10
L4_IT_Late_APOE4_Pos	ACE	antagonist	3.40084721547729e-10
Chandelier_Late_APOE4_Neg	ACE	antagonist	8.54925022160397e-11
Astrocyte_Early_APOE4_Neg	ACE	antagonist	4.02428950564888e-11
Immune_Early_APOE4_Neg	ACE	antagonist	4.0304830277018e-11
L5_IT_Late_APOE4_Neg	ACE	antagonist	8.37809370812184e-11
L2_3_IT_Late_APOE4_Neg	ACE	antagonist	3.15449772058404e-10
Immune_Late_APOE4_Neg	ACE	antagonist	1.88699371573106e-11
L4_IT_Late_APOE4_Neg	ACE	antagonist	3.90132135073578e-11
L5_6_NP_Early_APOE4_Neg	ACE	antagonist	1.15090542152873e-10
L2_3_IT_Late_APOE4_Pos	ACE	antagonist	3.11271441950279e-10
Astrocyte_Late_APOE4_Pos	ACE	antagonist	3.38237695623192e-11
L6b_Early_APOE4_Neg	ACE	antagonist	2.46672114514403e-10
Lamp5_Late_APOE4_Neg	ACE	antagonist	7.54044430641324e-12
Chandelier_Late_APOE4_Pos	ACE	antagonist	8.28412225902805e-11
L6_IT_Car3_Early_APOE4_Neg	ACE	antagonist	7.22845300112513e-10
Lamp5_Lhx6_Late_APOE4_Neg	ACE	antagonist	2.10375947735322e-10
L5_IT_Late_APOE4_Pos	ACE	antagonist	1.27679632725173e-10
Lamp5_Late_APOE4_Pos	ACE	antagonist	1.74045539038483e-10
L6_IT_Late_APOE4_Neg	ACE	antagonist	1.65102590485634e-10
L6_IT_Late_APOE4_Pos	ACE	antagonist	1.56817317095976e-10
L6_CT_Late_APOE4_Pos	ACE	antagonist	2.02534524962808e-10
Lamp5_Lhx6_Late_APOE4_Pos	ACE	antagonist	1.4481729156222e-11
Lamp5_Early_APOE4_Neg	ACE	antagonist	2.34825884659985e-11
Lamp5_Lhx6_Early_APOE4_Neg	ACE	antagonist	1.05347753459053e-10
L6_CT_Early_APOE4_Neg	ACE	antagonist	1.82093312492999e-10
L6_IT_Car3_Late_APOE4_Neg	ACE	antagonist	2.12922773297147e-11
OPC_Late_APOE4_Pos	ACE	antagonist	1.85470170879728e-10
L6b_Late_APOE4_Neg	ACE	antagonist	3.08387989403553e-10
L6b_Late_APOE4_Pos	ACE	antagonist	2.56561753696289e-10
Pax6_Early_APOE4_Neg	ACE	antagonist	5.46951514826423e-11
L6_IT_Early_APOE4_Neg	ACE	antagonist	3.33078251165723e-10
L6_CT_Late_APOE4_Neg	ACE	antagonist	7.23069331369937e-11
OPC_Late_APOE4_Neg	ACE	antagonist	1.22286504566221e-11
Oligodendrocyte_Late_APOE4_Neg	ACE	antagonist	1.02159924716802e-11
OPC_Early_APOE4_Neg	ACE	antagonist	1.8607583814811e-11
Oligodendrocyte_Early_APOE4_Neg	ACE	antagonist	2.36235510477899e-11
L6_IT_Car3_Late_APOE4_Pos	ACE	antagonist	2.32582828492989e-10
VLMC___Perivascular_Late_APOE4_Neg	ACE	antagonist	1.92202366418147e-10
Oligodendrocyte_Late_APOE4_Pos	ACE	antagonist	2.20682708454294e-10
Pvalb_Early_APOE4_Neg	ACE	antagonist	1.27046000404192e-10
Pax6_Late_APOE4_Pos	ACE	antagonist	1.75549646824877e-10
Sst_Late_APOE4_Pos	ACE	antagonist	5.6567461070996e-11
Pax6_Late_APOE4_Neg	ACE	antagonist	4.50485892455371e-10
Pvalb_Late_APOE4_Neg	ACE	antagonist	6.31301739773533e-11
Sst_Early_APOE4_Neg	ACE	antagonist	1.90441007696859e-10
Sncg_Late_APOE4_Neg	ACE	antagonist	1.80510604399072e-10
Sncg_Early_APOE4_Neg	ACE	antagonist	1.21562504573014e-10
Pvalb_Late_APOE4_Pos	ACE	antagonist	2.35148640644772e-10
Vip_Late_APOE4_Neg	ACE	antagonist	9.4190269463307e-11
Vip_Late_APOE4_Pos	ACE	antagonist	9.4896231587593e-12
Sncg_Late_APOE4_Pos	ACE	antagonist	2.43928511727612e-10
Vip_Early_APOE4_Neg	ACE	antagonist	2.29589659166407e-10
VLMC___Perivascular_Late_APOE4_Pos	ACE	antagonist	4.68260764602104e-11
Sst_Late_APOE4_Neg	ACE	antagonist	1.57186468505288e-10
L5_ET_Late_APOE4_Neg	APOE	antagonist	1.80762062369437e-10
Endothelial_Late_APOE4_Neg	APOE	antagonist	1.38718072009474e-10
Chandelier_Early_APOE4_Neg	APOE	antagonist	4.10678076055657e-10
L4_IT_Early_APOE4_Neg	APOE	antagonist	4.23345284190865e-11
L5_IT_Early_APOE4_Neg	APOE	antagonist	1.63837630426425e-10
L5_6_NP_Late_APOE4_Neg	APOE	antagonist	3.64913021299364e-11
L2_3_IT_Early_APOE4_Neg	APOE	antagonist	1.88060181130832e-11
Immune_Late_APOE4_Pos	APOE	antagonist	8.66083312332694e-10
Astrocyte_Late_APOE4_Neg	APOE	antagonist	2.9039850192656e-09
L5_ET_Late_APOE4_Pos	APOE	antagonist	5.9407706795713e-11
L5_6_NP_Late_APOE4_Pos	APOE	antagonist	3.50674324222483e-11
Endothelial_Late_APOE4_Pos	APOE	antagonist	3.50353595268306e-10
L4_IT_Late_APOE4_Pos	APOE	antagonist	2.22764638770218e-10
Chandelier_Late_APOE4_Neg	APOE	antagonist	1.25837662979323e-10
Astrocyte_Early_APOE4_Neg	APOE	antagonist	6.52106305638573e-09
Immune_Early_APOE4_Neg	APOE	antagonist	2.35681637479149e-09
L5_IT_Late_APOE4_Neg	APOE	antagonist	1.86884012835619e-11
L2_3_IT_Late_APOE4_Neg	APOE	antagonist	4.88216486090144e-11
Immune_Late_APOE4_Neg	APOE	antagonist	1.98906546274001e-10
L4_IT_Late_APOE4_Neg	APOE	antagonist	4.34022128549716e-11
L5_6_NP_Early_APOE4_Neg	APOE	antagonist	3.80519604297942e-10
