cell_type	target	binding	perb_score
Late_Braak_Sncg	ADORA2A	agonist	1.88667825396401e-10
Late_Braak_VLMC	ADORA2A	agonist	4.18703757254161e-10
Late_Braak_Sst	ADORA2A	agonist	9.67563099443051e-11
Late_Braak_Pvalb	ADORA2A	agonist	1.89413581510703e-10
Late_Braak_L5_IT	ADORA2A	agonist	2.15297207328645e-10
Late_Braak_L5_6_NP	ADORA2A	agonist	1.06902434592303e-10
Early_Braak_L6_IT_Car3	BCHE	agonist	1.20580395188718e-10
Early_Braak_L4_IT	BCHE	agonist	4.82943717921459e-11
Early_Braak_Astrocyte	BCHE	agonist	1.00150762949738e-12
Early_Braak_Lamp5_Lhx6	BCHE	agonist	4.8185051269598e-11
Early_Braak_Oligodendrocyte	BCHE	agonist	2.68432063192064e-10
Early_Braak_Sncg	BCHE	agonist	1.65999206059453e-11
Early_Braak_L2_3_IT	BCHE	agonist	3.83319239217696e-11
Early_Braak_OPC	BCHE	agonist	1.437011238548e-09
Late_Braak_Chandelier	BCHE	agonist	3.06590323489284e-10
Early_Braak_L6b	BCHE	agonist	3.12019819704109e-11
Early_Braak_L5_IT	BCHE	agonist	5.57129849795629e-11
Late_Braak_Astrocyte	BCHE	agonist	8.41194332968205e-11
Early_Braak_L6_IT	BCHE	agonist	5.55560082249757e-11
Early_Braak_Lamp5	BCHE	agonist	9.08217373618846e-11
Early_Braak_L6_CT	BCHE	agonist	6.94994030095658e-11
Early_Braak_Microglia-PVM	BCHE	agonist	1.02432855882199e-10
Early_Braak_Vip	BCHE	agonist	1.87984227143653e-10
Early_Braak_Chandelier	BCHE	agonist	3.50681244996086e-10
Early_Braak_L5_6_NP	BCHE	agonist	4.57886637328214e-11
Early_Braak_VLMC	BCHE	agonist	5.15538113694091e-11
Early_Braak_Pax6	BCHE	agonist	4.07961274087269e-10
Late_Braak_Endothelial	BCHE	agonist	1.32584364447534e-10
Early_Braak_Sst	BCHE	agonist	5.47932307204691e-11
Early_Braak_Pvalb	BCHE	agonist	9.64603488600073e-10
Late_Braak_L2_3_IT	BCHE	agonist	2.64397789976069e-11
Late_Braak_Lamp5_Lhx6	BCHE	agonist	5.16792216553334e-11
Late_Braak_L5_ET	BCHE	agonist	8.41678158828971e-11
Late_Braak_Lamp5	BCHE	agonist	1.38103277334333e-14
Late_Braak_L6_IT	BCHE	agonist	3.61037643778308e-12
Late_Braak_L4_IT	BCHE	agonist	8.08799217139823e-11
Late_Braak_L6b	BCHE	agonist	5.42298407938493e-11
Late_Braak_Sst_Chodl	BCHE	agonist	5.20307145643584e-11
Late_Braak_L6_CT	BCHE	agonist	1.07450008944016e-10
Late_Braak_L6_IT_Car3	BCHE	agonist	4.48032512122991e-11
Late_Braak_Oligodendrocyte	BCHE	agonist	1.07137542917117e-10
Late_Braak_Pax6	BCHE	agonist	1.20693260416613e-09
Late_Braak_Vip	BCHE	agonist	3.48132412950502e-10
Late_Braak_OPC	BCHE	agonist	1.30024051266532e-09
Late_Braak_Microglia-PVM	BCHE	agonist	4.44295449270967e-11
Late_Braak_Sncg	BCHE	agonist	3.5063939377086e-10
Late_Braak_VLMC	BCHE	agonist	6.87480059491100e-10
Late_Braak_Sst	BCHE	agonist	2.82253785691729e-10
Late_Braak_Pvalb	BCHE	agonist	3.99254206539503e-10
Late_Braak_L5_IT	BCHE	agonist	3.9190754914162e-11
Late_Braak_L5_6_NP	BCHE	agonist	1.90708585102886e-11
Early_Braak_L4_IT	BIN1	agonist	1.41622958744231e-09
Early_Braak_Sncg	BIN1	agonist	3.68324658568572e-10
